age,gender,weight,height,activity_level,goal,preferences,calorie_needs,day,meal_type,meal_name,ingredients,calories
50,Male,55,155,Moderate,Weight Loss,No Gluten,1800,1,Breakfast,Egg Sandwich,"Brown rice, grilled chicken, black beans, salsa, guacamole",400
40,Female,50,165,Moderate,Weight Loss,Vegetarian,1400,2,Breakfast,Salmon Salad,"Chicken breast, mixed greens, balsamic vinaigrette",450
50,Female,75,155,Sedentary,Weight Loss,No Dairy,1800,1,Breakfast,Eggs and Bacon,"Zucchini, bell peppers, spinach, olive oil",750
30,Female,90,180,Active,Weight Gain,High Protein,1500,1,Dinner,Vegetable Stir Fry,"Whole grain pancakes, peanut butter, banana",600
25,Female,70,170,Moderate,Weight Loss,Vegetarian,1400,2,Lunch,Baked Salmon,"Scrambled eggs, turkey bacon, avocado",300
50,Male,65,180,Active,Weight Loss,No Dairy,1500,2,Dinner,Baked Salmon,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",800
25,Female,65,155,Sedentary,Weight Gain,No Dairy,1600,2,Breakfast,Smoothie Bowl,"Oats, almond milk, blueberries",350
50,Female,90,180,Moderate,Maintenance,Low Carb,1800,1,Breakfast,Zucchini Noodles with Pesto,"Zucchini, bell peppers, spinach, olive oil",250
25,Female,70,150,Sedentary,Maintenance,High Protein,1800,2,Dinner,Smoothie Bowl,"Lentils, carrots, onions, celery, vegetable broth",800
40,Female,70,185,Sedentary,Maintenance,High Protein,1400,1,Lunch,Eggs and Bacon,"Zucchini noodles, pesto, grilled shrimp",600
35,Male,85,155,Moderate,Weight Gain,High Protein,1400,2,Dinner,Yogurt Parfait,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",850
40,Male,70,165,Active,Maintenance,High Protein,1800,2,Dinner,Pasta with Meat Sauce,"Chicken breast, mixed greens, balsamic vinaigrette",400
40,Female,75,155,Active,Weight Loss,Vegetarian,1400,1,Dinner,Green Smoothie,"Greek yogurt, granola, mixed berries",400
40,Female,95,165,Active,Maintenance,No Dairy,1400,1,Breakfast,Baked Salmon,"Spinach, kale, banana, almond milk",700
50,Female,85,160,Moderate,Weight Loss,Vegetarian,1400,1,Dinner,Caesar Salad,"Steak, roasted sweet potato, green beans",850
35,Female,85,185,Moderate,Weight Gain,High Protein,1800,2,Dinner,Zucchini Noodles with Pesto,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",450
30,Female,50,150,Active,Weight Loss,High Protein,1600,2,Lunch,Grilled Salmon,"Eggs, cheese, spinach, mushrooms",750
50,Male,65,185,Moderate,Weight Loss,No Gluten,1200,2,Dinner,Yogurt Parfait,"Broccoli, carrots, tofu, soy sauce, brown rice",600
40,Male,70,170,Active,Weight Loss,No Gluten,1800,1,Breakfast,Oatmeal Bowl,"Whole grain pasta, ground beef, tomato sauce, Parmesan",800
25,Male,95,185,Sedentary,Maintenance,High Protein,1800,1,Dinner,Grilled Vegetable Salad,"Lentils, carrots, onions, celery, vegetable broth",750
30,Female,50,165,Sedentary,Maintenance,Vegetarian,1400,2,Breakfast,Baked Salmon,"Shrimp, corn tortillas, slaw, salsa",800
40,Male,80,165,Active,Weight Gain,No Gluten,1400,2,Lunch,Grilled Vegetable Salad,"Turkey, lettuce, avocado, salsa",800
35,Male,90,175,Moderate,Weight Gain,Vegetarian,1200,2,Breakfast,Quinoa Bowl,"Shrimp, corn tortillas, slaw, salsa",650
50,Male,85,150,Moderate,Weight Loss,Low Carb,1800,1,Lunch,Yogurt Parfait,"Steak, roasted sweet potato, green beans",600
50,Female,90,155,Moderate,Weight Loss,No Dairy,1600,2,Lunch,Oatmeal Bowl,"Zucchini noodles, pesto, grilled shrimp",850
35,Male,50,185,Active,Maintenance,No Gluten,1800,2,Breakfast,Grilled Salmon,"Whole grain pasta, ground beef, tomato sauce, Parmesan",450
25,Male,50,175,Moderate,Weight Loss,No Dairy,1600,1,Dinner,Cheese Omelette,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",250
30,Male,90,185,Active,Weight Loss,No Dairy,1600,1,Lunch,Egg Sandwich,"Chicken breast, sweet potatoes, asparagus",600
30,Female,80,170,Moderate,Weight Loss,No Gluten,1800,2,Lunch,Grilled Chicken Salad,"Greek yogurt, granola, mixed berries",750
40,Male,90,185,Sedentary,Maintenance,Low Carb,1400,2,Lunch,Egg Sandwich,"Whole grain pasta, ground beef, tomato sauce, Parmesan",850
35,Female,75,160,Active,Maintenance,Vegetarian,1400,1,Lunch,Salmon Salad,"Brown rice, grilled chicken, black beans, salsa, guacamole",500
35,Male,90,175,Active,Maintenance,No Gluten,1600,2,Breakfast,Oatmeal Bowl,"Salmon, asparagus, wild rice",800
40,Female,90,180,Moderate,Weight Gain,No Gluten,1800,1,Breakfast,Zucchini Noodles with Pesto,"Chicken breast, roasted zucchini, bell peppers",450
50,Female,70,160,Active,Weight Loss,No Dairy,1500,1,Breakfast,Oatmeal Bowl,"Whole grain toast, mashed avocado, poached egg",650
35,Female,95,165,Active,Weight Gain,High Protein,1200,1,Dinner,Turkey Lettuce Wraps,"Scrambled eggs, turkey bacon, avocado",500
35,Male,65,150,Active,Weight Loss,Vegetarian,1600,2,Breakfast,Caprese Salad,"Turkey, lettuce, avocado, salsa",700
25,Female,65,155,Sedentary,Weight Gain,Low Carb,1400,2,Dinner,Oatmeal Bowl,"Whole grain pasta, ground beef, tomato sauce, Parmesan",700
30,Male,65,180,Sedentary,Weight Loss,No Dairy,1600,1,Lunch,Caprese Salad,"Whole grain toast, mashed avocado, poached egg",650
35,Female,80,180,Moderate,Maintenance,No Gluten,1600,2,Lunch,Egg and Veggie Scramble,"Whole grain toast, mashed avocado, poached egg",400
50,Male,95,160,Sedentary,Maintenance,No Gluten,1400,1,Lunch,Turkey Lettuce Wraps,"Brown rice, grilled chicken, black beans, salsa, guacamole",400
35,Female,65,175,Moderate,Maintenance,High Protein,1500,2,Lunch,Eggs and Bacon,"Shrimp, corn tortillas, slaw, salsa",500
25,Male,60,175,Moderate,Weight Loss,No Gluten,1800,1,Lunch,Grilled Chicken and Veggies,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",700
25,Female,95,185,Active,Weight Loss,No Dairy,1200,1,Breakfast,Baked Chicken,"Banana, strawberries, chia seeds",250
25,Female,50,150,Active,Maintenance,Vegetarian,1400,1,Lunch,Turkey Lettuce Wraps,"Steak, roasted sweet potato, green beans",350
50,Male,65,170,Active,Weight Gain,No Gluten,1200,1,Lunch,Steak and Sweet Potato,"Whole grain pasta, ground beef, tomato sauce, Parmesan",400
30,Male,80,150,Active,Maintenance,Vegetarian,1800,2,Lunch,Caprese Salad,"Chicken breast, roasted zucchini, bell peppers",750
40,Male,90,155,Sedentary,Weight Loss,No Dairy,1500,1,Dinner,Baked Chicken,"Spinach, kale, banana, almond milk",700
50,Male,55,155,Sedentary,Weight Loss,No Dairy,1800,1,Lunch,Grilled Salmon,"Chicken breast, roasted zucchini, bell peppers",350
30,Male,90,150,Active,Weight Loss,High Protein,1500,2,Lunch,Green Smoothie,"Turkey, lettuce, avocado, salsa",700
40,Female,50,155,Sedentary,Maintenance,Vegetarian,1600,2,Breakfast,Turkey Lettuce Wraps,"Eggs, bell peppers, spinach, olive oil",850
35,Female,65,150,Sedentary,Weight Gain,No Dairy,1400,1,Dinner,Chicken Burrito Bowl,"Zucchini, bell peppers, spinach, olive oil",600
40,Female,70,155,Moderate,Maintenance,No Gluten,1800,1,Dinner,Avocado Toast,"Scrambled eggs, turkey bacon, avocado",800
40,Female,55,150,Active,Weight Loss,Vegetarian,1400,2,Dinner,Eggs and Bacon,"Eggs, cheese, spinach, mushrooms",850
25,Male,60,175,Sedentary,Weight Loss,High Protein,1400,1,Lunch,Quinoa Bowl,"Whole grain pasta, ground beef, tomato sauce, Parmesan",700
35,Female,50,180,Active,Weight Gain,No Gluten,1200,2,Dinner,Green Smoothie,"Steak, roasted sweet potato, green beans",600
35,Male,70,165,Sedentary,Weight Loss,No Dairy,1800,2,Lunch,Chicken Burrito Bowl,"Chicken breast, mixed greens, balsamic vinaigrette",550
30,Male,85,155,Sedentary,Maintenance,Vegetarian,1500,1,Dinner,Turkey Lettuce Wraps,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",350
25,Female,90,180,Active,Weight Gain,No Gluten,1500,2,Breakfast,Pancakes with Peanut Butter,"Spinach, kale, banana, almond milk",250
25,Female,95,155,Moderate,Maintenance,Low Carb,1400,1,Breakfast,Smoothie Bowl,"Zucchini noodles, pesto, grilled shrimp",600
50,Female,90,150,Moderate,Maintenance,Low Carb,1200,1,Dinner,Grilled Chicken and Veggies,"Zucchini, bell peppers, spinach, olive oil",700
50,Female,50,175,Moderate,Weight Loss,No Dairy,1600,2,Lunch,Oatmeal Bowl,"Greek yogurt, granola, mixed berries",650
50,Male,95,185,Moderate,Maintenance,No Dairy,1800,2,Dinner,Vegetable Stir Fry,"Whole wheat bread, scrambled eggs, spinach, cheese",300
25,Male,90,180,Moderate,Maintenance,High Protein,1600,2,Dinner,Turkey and Avocado Wrap,"Chicken breast, mixed greens, balsamic vinaigrette",800
30,Female,95,165,Sedentary,Weight Loss,Vegetarian,1200,1,Dinner,Egg Sandwich,"Shrimp, corn tortillas, slaw, salsa",350
30,Male,60,180,Sedentary,Weight Loss,High Protein,1500,1,Lunch,Smoothie Bowl,"Beans, tomatoes, peppers, onions, spices",800
30,Female,65,150,Sedentary,Maintenance,Low Carb,1200,1,Breakfast,Vegetarian Chili,"Quinoa, black beans, corn, avocado, lime dressing",600
35,Female,90,185,Moderate,Weight Gain,No Gluten,1400,1,Lunch,Egg and Veggie Scramble,"Salmon, steamed broccoli, quinoa",400
50,Male,50,180,Active,Maintenance,Vegetarian,1500,2,Lunch,Pasta with Meat Sauce,"Steak, roasted sweet potato, green beans",250
50,Male,50,160,Active,Weight Loss,Vegetarian,1600,2,Breakfast,Cheese Omelette,"Whole wheat wrap, turkey, avocado, lettuce, tomato",450
35,Male,95,150,Active,Maintenance,Vegetarian,1400,2,Breakfast,Grilled Chicken Salad,"Brown rice, grilled chicken, black beans, salsa, guacamole",700
40,Female,60,165,Sedentary,Weight Loss,No Dairy,1600,2,Dinner,Egg Sandwich,"Whole grain pasta, ground beef, tomato sauce, Parmesan",650
25,Female,95,185,Moderate,Maintenance,Low Carb,1800,1,Breakfast,Turkey Lettuce Wraps,"Shrimp, corn tortillas, slaw, salsa",750
50,Female,85,150,Active,Maintenance,Vegetarian,1600,2,Breakfast,Avocado Toast,"Lentils, carrots, onions, celery, vegetable broth",400
25,Male,70,160,Active,Maintenance,Vegetarian,1200,1,Lunch,Steak and Sweet Potato,"Whole grain pasta, ground beef, tomato sauce, Parmesan",750
30,Male,70,155,Sedentary,Weight Gain,No Gluten,1400,2,Dinner,Baked Chicken,"Scrambled eggs, turkey bacon, avocado",550
35,Female,55,160,Active,Weight Gain,Low Carb,1200,1,Breakfast,Caprese Salad,"Greek yogurt, granola, mixed berries",300
30,Female,80,165,Active,Weight Gain,No Gluten,1800,1,Dinner,Grilled Vegetable Salad,"Zucchini, bell peppers, spinach, olive oil",800
35,Male,80,150,Moderate,Weight Gain,Vegetarian,1800,2,Dinner,Baked Chicken,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",850
35,Male,95,170,Moderate,Weight Gain,Vegetarian,1600,2,Breakfast,Turkey and Avocado Wrap,"Chicken breast, roasted zucchini, bell peppers",550
40,Female,65,185,Active,Weight Gain,High Protein,1200,1,Breakfast,Caesar Salad,"Brown rice, grilled chicken, black beans, salsa, guacamole",550
35,Male,95,180,Moderate,Weight Gain,No Dairy,1200,2,Lunch,Oatmeal Bowl,"Scrambled eggs, turkey bacon, avocado",500
25,Female,65,155,Sedentary,Maintenance,Vegetarian,1800,2,Dinner,Pasta with Meat Sauce,"Whole wheat bread, scrambled eggs, spinach, cheese",500
50,Female,80,150,Moderate,Weight Gain,Vegetarian,1600,2,Breakfast,Quinoa Bowl,"Chicken breast, sweet potatoes, asparagus",600
50,Male,60,160,Active,Maintenance,No Gluten,1400,1,Breakfast,Grilled Chicken Salad,"Eggs, bell peppers, spinach, olive oil",700
40,Male,80,165,Active,Weight Loss,No Dairy,1200,2,Dinner,Vegetarian Chili,"Chicken breast, roasted zucchini, bell peppers",800
40,Female,85,150,Moderate,Maintenance,No Dairy,1500,2,Dinner,Steak and Sweet Potato,"Spinach, kale, banana, almond milk",850
40,Female,85,180,Active,Maintenance,Vegetarian,1200,1,Lunch,Vegetarian Chili,"Whole grain toast, mashed avocado, poached egg",350
40,Female,85,180,Sedentary,Weight Loss,Low Carb,1200,1,Lunch,Grilled Vegetable Salad,"Steak, roasted sweet potato, green beans",450
25,Female,65,170,Moderate,Maintenance,Vegetarian,1600,2,Dinner,Caesar Salad,"Whole grain pancakes, peanut butter, banana",350
50,Female,95,155,Sedentary,Weight Loss,Low Carb,1400,1,Breakfast,Lentil Soup,"Chicken breast, roasted zucchini, bell peppers",700
30,Male,55,185,Moderate,Maintenance,Vegetarian,1800,2,Lunch,Yogurt Parfait,"Chicken breast, sweet potatoes, asparagus",550
50,Female,55,175,Moderate,Maintenance,High Protein,1400,1,Dinner,Egg and Veggie Scramble,"Banana, strawberries, chia seeds",400
30,Male,50,165,Moderate,Maintenance,Vegetarian,1800,1,Breakfast,Avocado Toast,"Chicken breast, sweet potatoes, asparagus",650
50,Female,95,155,Active,Weight Loss,Low Carb,1800,1,Dinner,Zucchini Noodles with Pesto,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",550
30,Female,55,150,Sedentary,Maintenance,High Protein,1500,2,Dinner,Vegetable Stir Fry,"Spinach, kale, banana, almond milk",450
50,Female,80,175,Sedentary,Weight Loss,Vegetarian,1500,1,Breakfast,Caprese Salad,"Scrambled eggs, turkey bacon, avocado",500
35,Female,65,170,Sedentary,Maintenance,Low Carb,1800,2,Breakfast,Pancakes with Peanut Butter,"Chicken breast, sweet potatoes, asparagus",250
35,Female,90,175,Moderate,Maintenance,Vegetarian,1600,2,Dinner,Baked Chicken,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",250
50,Male,50,185,Moderate,Weight Loss,High Protein,1800,1,Dinner,Egg and Veggie Scramble,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",750
25,Male,85,160,Active,Weight Loss,No Gluten,1500,2,Breakfast,Green Smoothie,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",700
30,Female,55,175,Moderate,Maintenance,Vegetarian,1600,2,Lunch,Vegetarian Chili,"Salmon, asparagus, wild rice",350
25,Male,95,180,Active,Maintenance,No Gluten,1600,2,Lunch,Turkey and Avocado Wrap,"Zucchini, bell peppers, spinach, olive oil",850
50,Female,75,175,Moderate,Maintenance,No Gluten,1600,2,Breakfast,Egg Sandwich,"Eggs, cheese, spinach, mushrooms",450
30,Female,85,170,Active,Weight Gain,No Dairy,1200,2,Dinner,Turkey Lettuce Wraps,"Steak, roasted sweet potato, green beans",650
25,Male,85,170,Moderate,Weight Loss,Low Carb,1400,2,Dinner,Chicken Burrito Bowl,"Banana, strawberries, chia seeds",800
25,Female,70,170,Moderate,Weight Loss,High Protein,1500,2,Breakfast,Quinoa Bowl,"Whole grain pasta, ground beef, tomato sauce, Parmesan",700
40,Male,80,150,Active,Weight Loss,Low Carb,1600,1,Breakfast,Eggs and Bacon,"Whole wheat bread, scrambled eggs, spinach, cheese",600
40,Male,50,160,Moderate,Weight Gain,High Protein,1500,1,Dinner,Smoothie Bowl,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",350
30,Female,70,185,Sedentary,Weight Gain,Low Carb,1500,2,Breakfast,Grilled Vegetable Salad,"Chicken breast, mixed greens, balsamic vinaigrette",600
35,Male,80,180,Active,Maintenance,High Protein,1400,1,Dinner,Grilled Chicken and Veggies,"Chicken breast, sweet potatoes, asparagus",550
40,Male,55,165,Active,Weight Loss,Vegetarian,1600,2,Breakfast,Baked Chicken,"Whole wheat wrap, turkey, avocado, lettuce, tomato",800
35,Male,85,165,Sedentary,Weight Gain,No Dairy,1800,2,Lunch,Pancakes with Peanut Butter,"Lentils, carrots, onions, celery, vegetable broth",850
40,Female,70,155,Sedentary,Weight Gain,High Protein,1500,1,Lunch,Turkey Lettuce Wraps,"Scrambled eggs, turkey bacon, avocado",450
50,Female,75,165,Sedentary,Weight Loss,No Dairy,1400,2,Dinner,Pancakes with Peanut Butter,"Beans, tomatoes, peppers, onions, spices",500
25,Female,95,180,Sedentary,Maintenance,No Dairy,1600,1,Dinner,Grilled Chicken Salad,"Whole wheat wrap, turkey, avocado, lettuce, tomato",750
30,Female,95,180,Sedentary,Maintenance,Low Carb,1500,1,Breakfast,Turkey Lettuce Wraps,"Banana, strawberries, chia seeds",300
50,Female,60,165,Sedentary,Maintenance,Vegetarian,1500,1,Dinner,Grilled Chicken and Veggies,"Lentils, carrots, onions, celery, vegetable broth",700
35,Female,70,175,Moderate,Weight Gain,No Dairy,1200,2,Dinner,Yogurt Parfait,"Banana, strawberries, chia seeds",350
40,Female,75,150,Sedentary,Weight Gain,High Protein,1500,2,Breakfast,Yogurt Parfait,"Salmon, asparagus, wild rice",500
40,Female,55,170,Sedentary,Maintenance,High Protein,1400,1,Breakfast,Egg Sandwich,"Scrambled eggs, turkey bacon, avocado",400
40,Male,60,150,Moderate,Maintenance,Low Carb,1600,2,Breakfast,Baked Chicken,"Lentils, carrots, onions, celery, vegetable broth",350
40,Male,65,170,Active,Maintenance,No Dairy,1800,2,Dinner,Grilled Chicken Salad,"Greek yogurt, granola, mixed berries",650
40,Male,75,155,Moderate,Weight Loss,Low Carb,1200,2,Breakfast,Grilled Vegetable Salad,"Spinach, kale, banana, almond milk",350
40,Male,75,150,Active,Weight Loss,Low Carb,1500,1,Dinner,Baked Salmon,"Whole wheat wrap, turkey, avocado, lettuce, tomato",700
